open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1667308500000,6.59000000,6.61000000,6.58000000,6.59000000,62964.03000000,1667309399999,415208.76820000,392,35680.72000000,235349.59380000,0
1667309400000,6.59000000,6.61000000,6.53000000,6.56000000,137142.82000000,1667310299999,900495.78890000,1400,51118.92000000,335921.58550000,0
1667310300000,6.56000000,6.56000000,6.49000000,6.55000000,146146.48000000,1667311199999,952502.77090000,2031,56681.48000000,369754.04880000,0
1667311200000,6.54000000,6.55000000,6.50000000,6.53000000,100353.08000000,1667312099999,654052.56430000,705,45812.89000000,298714.10820000,0
1667312100000,6.53000000,6.55000000,6.50000000,6.52000000,111984.59000000,1667312999999,730486.86500000,779,45113.07000000,294654.53120000,0
1667313000000,6.52000000,6.53000000,6.50000000,6.50000000,51573.32000000,1667313899999,335854.73450000,473,22070.13000000,143753.33760000,0
1667313900000,6.51000000,6.52000000,6.49000000,6.50000000,52604.01000000,1667314799999,342197.51920000,363,25325.77000000,164769.72640000,0
1667314800000,6.50000000,6.53000000,6.49000000,6.53000000,33622.26000000,1667315699999,219007.78220000,281,22800.65000000,148585.07530000,0
1667315700000,6.52000000,6.53000000,6.51000000,6.52000000,44159.52000000,1667316599999,288098.37610000,353,30022.49000000,195929.13120000,0
1667316600000,6.52000000,6.54000000,6.49000000,6.50000000,66600.34000000,1667317499999,433637.89140000,449,17428.08000000,113581.85190000,0
1667317500000,6.49000000,6.52000000,6.47000000,6.52000000,142522.24000000,1667318399999,924701.52350000,944,59154.33000000,384315.85480000,0
1667318400000,6.51000000,6.53000000,6.49000000,6.52000000,56758.59000000,1667319299999,369622.91140000,386,34260.57000000,223085.27790000,0
1667319300000,6.51000000,6.53000000,6.49000000,6.49000000,52121.56000000,1667320199999,339329.45020000,368,25765.41000000,167776.23220000,0
1667320200000,6.50000000,6.50000000,6.46000000,6.50000000,44755.51000000,1667321099999,289896.25750000,556,24895.50000000,161243.59760000,0
1667321100000,6.49000000,6.49000000,6.46000000,6.47000000,44774.82000000,1667321999999,290080.33640000,286,15491.36000000,100362.59680000,0
1667322000000,6.48000000,6.50000000,6.46000000,6.49000000,23355.92000000,1667322899999,151300.82610000,236,16496.17000000,106877.25200000,0
1667322900000,6.49000000,6.51000000,6.49000000,6.50000000,15011.99000000,1667323799999,97611.18470000,191,9610.75000000,62503.75790000,0
1667323800000,6.50000000,6.51000000,6.48000000,6.51000000,43843.86000000,1667324699999,284781.35130000,288,18532.00000000,120379.69370000,0
1667324700000,6.51000000,6.52000000,6.50000000,6.51000000,27021.37000000,1667325599999,175883.05730000,179,15969.64000000,103963.91300000,0
1667325600000,6.52000000,6.52000000,6.51000000,6.51000000,7120.84000000,1667326499999,46368.86710000,121,1219.87000000,7953.55240000,0
1667326500000,6.51000000,6.52000000,6.50000000,6.50000000,34119.34000000,1667327399999,222063.90820000,247,15389.22000000,100184.26810000,0
1667327400000,6.50000000,6.51000000,6.49000000,6.51000000,26502.62000000,1667328299999,172321.51170000,184,18239.18000000,118615.17070000,0
1667328300000,6.50000000,6.52000000,6.50000000,6.52000000,10450.26000000,1667329199999,68043.88840000,139,9084.38000000,59162.96530000,0
1667329200000,6.52000000,6.52000000,6.51000000,6.51000000,9483.06000000,1667330099999,61815.55450000,123,8083.39000000,52703.70280000,0
1667330100000,6.52000000,6.52000000,6.51000000,6.51000000,7409.73000000,1667330999999,48299.57250000,123,6223.02000000,40574.09040000,0
1667331000000,6.51000000,6.52000000,6.50000000,6.51000000,9591.05000000,1667331899999,62438.06410000,127,2470.90000000,16088.69570000,0
1667331900000,6.50000000,6.51000000,6.49000000,6.50000000,39014.24000000,1667332799999,253454.38420000,265,16508.99000000,107306.49490000,0
1667332800000,6.49000000,6.50000000,6.47000000,6.48000000,35706.01000000,1667333699999,231469.03360000,253,6738.13000000,43685.92000000,0
1667333700000,6.49000000,6.49000000,6.47000000,6.48000000,14881.92000000,1667334599999,96436.42870000,187,6202.68000000,40206.06210000,0
1667334600000,6.49000000,6.49000000,6.48000000,6.49000000,8147.15000000,1667335499999,52865.48220000,95,4634.99000000,30081.08510000,0
1667335500000,6.49000000,6.50000000,6.48000000,6.48000000,12969.11000000,1667336399999,84154.42420000,107,7844.07000000,50911.21420000,0
1667336400000,6.49000000,6.49000000,6.47000000,6.49000000,26539.86000000,1667337299999,171989.90350000,197,20236.20000000,131144.62330000,0
1667337300000,6.48000000,6.49000000,6.48000000,6.48000000,10501.77000000,1667338199999,68099.62040000,137,4815.08000000,31249.86920000,0
1667338200000,6.49000000,6.49000000,6.47000000,6.49000000,11751.06000000,1667339099999,76152.33460000,147,6007.57000000,38955.89030000,0
1667339100000,6.49000000,6.49000000,6.47000000,6.47000000,17935.94000000,1667339999999,116167.39010000,173,7326.03000000,47457.35720000,0
1667340000000,6.47000000,6.49000000,6.47000000,6.48000000,23108.57000000,1667340899999,149651.85160000,217,8403.15000000,54439.40160000,0
1667340900000,6.48000000,6.48000000,6.47000000,6.48000000,7997.41000000,1667341799999,51761.43950000,105,1819.68000000,11791.52640000,0
1667341800000,6.48000000,6.48000000,6.47000000,6.48000000,4801.10000000,1667342699999,31093.37450000,109,3025.75000000,19606.86000000,0
1667342700000,6.48000000,6.49000000,6.47000000,6.49000000,15636.85000000,1667343599999,101323.31820000,121,8454.67000000,54791.92440000,0
1667343600000,6.48000000,6.49000000,6.48000000,6.48000000,3455.36000000,1667344499999,22400.52070000,93,978.79000000,6352.34710000,0
1667344500000,6.48000000,6.49000000,6.47000000,6.48000000,16930.58000000,1667345399999,109733.61490000,232,3985.23000000,25848.67190000,0
1667345400000,6.47000000,6.48000000,6.47000000,6.47000000,7183.56000000,1667346299999,46514.71880000,102,3708.56000000,24031.46880000,0
1667346300000,6.47000000,6.48000000,6.45000000,6.46000000,48551.78000000,1667347199999,313886.29300000,511,25244.61000000,163287.33580000,0
1667347200000,6.45000000,6.46000000,6.40000000,6.42000000,125847.81000000,1667348099999,807608.29730000,1366,39900.86000000,255989.54730000,0
1667348100000,6.41000000,6.44000000,6.41000000,6.43000000,31438.14000000,1667348999999,202099.31650000,365,17209.83000000,110655.09050000,0
1667349000000,6.43000000,6.45000000,6.43000000,6.45000000,35710.61000000,1667349899999,229982.16130000,300,25690.07000000,165471.24790000,0
1667349900000,6.44000000,6.47000000,6.44000000,6.46000000,71017.41000000,1667350799999,458760.04670000,419,48937.28000000,316146.52860000,0
1667350800000,6.47000000,6.47000000,6.45000000,6.46000000,18067.26000000,1667351699999,116721.35230000,208,3796.71000000,24534.60040000,0
1667351700000,6.46000000,6.47000000,6.45000000,6.46000000,23803.29000000,1667352599999,153833.59510000,183,11524.61000000,74519.52940000,0
1667352600000,6.46000000,6.47000000,6.45000000,6.45000000,23415.44000000,1667353499999,151108.17590000,206,1037.88000000,6707.00070000,0
1667353500000,6.45000000,6.46000000,6.44000000,6.44000000,13889.33000000,1667354399999,89562.53940000,167,892.08000000,5761.24120000,0
1667354400000,6.45000000,6.45000000,6.41000000,6.42000000,29149.68000000,1667355299999,187390.15290000,295,4927.51000000,31679.26480000,0
1667355300000,6.42000000,6.43000000,6.40000000,6.41000000,13950.86000000,1667356199999,89508.69610000,234,5451.71000000,35009.53140000,0
1667356200000,6.40000000,6.43000000,6.40000000,6.42000000,15725.66000000,1667357099999,100869.92220000,158,6679.87000000,42830.84190000,0
1667357100000,6.42000000,6.43000000,6.41000000,6.43000000,20090.09000000,1667357999999,129003.10050000,186,5861.50000000,37655.56910000,0
1667358000000,6.43000000,6.43000000,6.42000000,6.43000000,10999.55000000,1667358899999,70642.59100000,96,2548.00000000,16383.64000000,0
1667358900000,6.43000000,6.47000000,6.42000000,6.45000000,34070.36000000,1667359799999,219726.96100000,349,20048.56000000,129184.16990000,0
1667359800000,6.46000000,6.46000000,6.44000000,6.45000000,21010.26000000,1667360699999,135457.03700000,240,8161.08000000,52652.25710000,0
1667360700000,6.45000000,6.45000000,6.43000000,6.44000000,28919.38000000,1667361599999,186258.67160000,282,6916.83000000,44563.60760000,0
1667361600000,6.44000000,6.46000000,6.44000000,6.46000000,32007.69000000,1667362499999,206289.12240000,301,18588.67000000,119863.76610000,0
1667362500000,6.45000000,6.46000000,6.43000000,6.43000000,27251.43000000,1667363399999,175506.28330000,316,4885.20000000,31468.46340000,0
